YEAR,WORLD_RECEIPTS_BILLION,WORLD_GROWTH_RATE,INDIA_FEE_BILLION,INDIA_GROWTH_RATE,INDIA_WORLD_SHARE_PERCENT,INDIA_WORLD_RANK
2001,463.8,-2.4,3.2,-7.8,0.69,36th
2002,481.9,3.9,3.1,-2.8,0.64,37th
2003,529.3,9.8,4.5,43.9,0.84,37th
2004,633.2,19.6,6.2,38.3,0.97,26th
2005,679.6,7.3,7.5,21.4,1.1,22nd
2006,744,9.5,8.6,15.2,1.16,22nd
2007,857,15.2,10.7,24.3,1.25,22nd
2008,939,9.6,11.8,10.3,1.26,22nd
2009,853,-9.2,11.1,-5.8,1.31,20th
2010,931,9.1,14.5,30.1,1.56,17th
2011,1042,11.9,17.7,22.2,1.7,18th
2012,1117,7.2,18,1.5,1.61,16th
2013,1198,7.3,18.4,2.3,1.54,16th
2014,1252,4.5,19.7,7.1,1.57,15th
2015,1217,-2.8,21,6.6,1.73,14th
2016,1247,2.5,22.9,9.1,1.84,13th
2017,1349,8.2,27.3,19.1,1.84,13th
2018,1439,6.7,28.6,4.7,1.99,13th
2019,1483,3.1,30.1,5.1,2.02,13th
2020,546,-63.3,6.9,-76.9,1.27,12th
2021,602,10.3,8.7,26.4,1.46,22nd
2022,1126,76.5,21.4,146.0,1.6,15th
2023,1507,33.8,32.2,50.5,2.1,13th
