Region,State,Total_Tourist_Arrivals(in millions)
EAST,Andaman & Nicobar Island,0.513521
EAST,Bihar,34.709584
EAST,Jharkhand,35.584623
EAST,Odisha,15.319358
EAST,West Bengal,87.27447000000001
NORTH,Chandigarh,1.578477
NORTH,Delhi,31.854924999999998
NORTH,Haryana,4.962929
NORTH,Himachal Pradesh,16.450502999999998
NORTH,J&K,17.215835
NORTH,Punjab,45.79603
NORTH,Rajasthan,51.989990999999996
NORTH,Uttar Pradesh,288.86060000000003
NORTH,Uttarakhand,35.76097
NORTH EAST,Arunachal Pradesh,0.520089
NORTH EAST,Assam,5.893128
NORTH EAST,Manipur,0.1825
NORTH EAST,Meghalaya,1.2164540000000001
NORTH EAST,Mizoram,0.077518
NORTH EAST,Nagaland,0.106598
NORTH EAST,Sikkim,1.497299
NORTH EAST,Tripura,0.517249
SOUTH,Andhra Pradesh,195.048957
SOUTH,Karnataka,214.85017200000001
SOUTH,Kerala,16.701068
SOUTH,Lakshadweep,0.011748
SOUTH,Puducherry,1.757793
SOUTH,Tamil Nadu,391.983721
SOUTH,Telangana,93.196483
WEST & CENTRAL,Chhattisgarh,19.343899999999998
WEST & CENTRAL,Dadra & Nagar Haveli,0.611043
WEST & CENTRAL,Daman & Diu,0.904518
WEST & CENTRAL,Goa,8.0154
WEST & CENTRAL,Gujarat,54.882985999999995
WEST & CENTRAL,Madhya Pradesh,84.345275
WEST & CENTRAL,Maharashtra,124.27005299999999
